subregion1_code,date,value,model
AK,2021-10-16,1169.497,Random_Forest
AK,2021-10-16,1653.9231,XGBoost
AK,2021-10-16,3931.824429888542,GBM_default
AK,2021-10-16,3077.2616935454366,GBM_tuned
AK,2021-10-17,1174.855,Random_Forest
AK,2021-10-17,1978.8425,XGBoost
AK,2021-10-17,6101.364254087143,GBM_default
AK,2021-10-17,3077.2616935454366,GBM_tuned
AK,2021-10-18,1151.123,Random_Forest
AK,2021-10-18,1857.9462,XGBoost
AK,2021-10-18,3905.996679443248,GBM_default
AK,2021-10-18,3077.2616935454366,GBM_tuned
AK,2021-10-19,1146.934,Random_Forest
AK,2021-10-19,2620.9346,XGBoost
AK,2021-10-19,4148.097269023571,GBM_default
AK,2021-10-19,3077.2616935454366,GBM_tuned
AK,2021-10-20,1143.768,Random_Forest
AK,2021-10-20,2545.2502,XGBoost
AK,2021-10-20,3880.695812425723,GBM_default
AK,2021-10-20,3077.2616935454366,GBM_tuned
AK,2021-10-21,1151.335,Random_Forest
AK,2021-10-21,2037.141,XGBoost
AK,2021-10-21,3998.853992074906,GBM_default
AK,2021-10-21,3077.2616935454366,GBM_tuned
AK,2021-10-22,1174.48,Random_Forest
AK,2021-10-22,1715.8053,XGBoost
AK,2021-10-22,6243.32774494276,GBM_default
AK,2021-10-22,3077.2616935454366,GBM_tuned
AK,2021-10-23,1173.847,Random_Forest
AK,2021-10-23,1992.6637,XGBoost
AK,2021-10-23,6054.729792118083,GBM_default
AK,2021-10-23,3077.2616935454366,GBM_tuned
AK,2021-10-24,1139.924,Random_Forest
AK,2021-10-24,2681.7546,XGBoost
AK,2021-10-24,3923.81395465054,GBM_default
AK,2021-10-24,3077.2616935454366,GBM_tuned
AK,2021-10-25,1152.694,Random_Forest
AK,2021-10-25,2915.2202,XGBoost
AK,2021-10-25,3998.853992074906,GBM_default
AK,2021-10-25,3077.2616935454366,GBM_tuned
AK,2021-10-26,1162.447,Random_Forest
AK,2021-10-26,2823.4832,XGBoost
AK,2021-10-26,3872.3951235579457,GBM_default
AK,2021-10-26,3077.2616935454366,GBM_tuned
AK,2021-10-27,1147.054,Random_Forest
AK,2021-10-27,2091.2876,XGBoost
AK,2021-10-27,6295.999675204901,GBM_default
AK,2021-10-27,3077.2616935454366,GBM_tuned
AK,2021-10-28,1168.051,Random_Forest
AK,2021-10-28,1944.0681,XGBoost
AK,2021-10-28,6134.246676642404,GBM_default
AK,2021-10-28,3077.2616935454366,GBM_tuned
AK,2021-10-29,1154.715,Random_Forest
AK,2021-10-29,1500.7135,XGBoost
AK,2021-10-29,3890.93153209528,GBM_default
AK,2021-10-29,3077.2616935454366,GBM_tuned
AK,2021-10-30,1152.125,Random_Forest
AK,2021-10-30,1160.955,XGBoost
AK,2021-10-30,3905.996679443248,GBM_default
AK,2021-10-30,3077.2616935454366,GBM_tuned
AK,2021-10-31,1145.003,Random_Forest
AK,2021-10-31,1816.3209,XGBoost
AK,2021-10-31,3895.760959773691,GBM_default
AK,2021-10-31,3077.2616935454366,GBM_tuned
AK,2021-11-01,1162.592,Random_Forest
AK,2021-11-01,2305.245,XGBoost
AK,2021-11-01,3986.431390952464,GBM_default
AK,2021-11-01,3077.2616935454366,GBM_tuned
AK,2021-11-02,1144.708,Random_Forest
AK,2021-11-02,1650.8177,XGBoost
AK,2021-11-02,3880.695812425723,GBM_default
AK,2021-11-02,3077.2616935454366,GBM_tuned
AK,2021-11-03,1143.104,Random_Forest
AK,2021-11-03,1735.833,XGBoost
AK,2021-11-03,3880.695812425723,GBM_default
AK,2021-11-03,3077.2616935454366,GBM_tuned
AK,2021-11-04,1143.431,Random_Forest
AK,2021-11-04,1750.5104,XGBoost
AK,2021-11-04,3880.695812425723,GBM_default
AK,2021-11-04,3077.2616935454366,GBM_tuned
AK,2021-11-05,1177.912,Random_Forest
AK,2021-11-05,1638.8387,XGBoost
AK,2021-11-05,6229.758153405883,GBM_default
AK,2021-11-05,3077.2616935454366,GBM_tuned
AK,2021-11-06,1146.127,Random_Forest
AK,2021-11-06,2428.4597,XGBoost
AK,2021-11-06,3890.93153209528,GBM_default
AK,2021-11-06,3077.2616935454366,GBM_tuned
AK,2021-11-07,1146.429,Random_Forest
AK,2021-11-07,2537.7712,XGBoost
AK,2021-11-07,4009.089711744463,GBM_default
AK,2021-11-07,3077.2616935454366,GBM_tuned
AK,2021-11-08,1169.873,Random_Forest
AK,2021-11-08,2013.6975,XGBoost
AK,2021-11-08,3795.14145960832,GBM_default
AK,2021-11-08,3077.2616935454366,GBM_tuned
AK,2021-11-09,1174.468,Random_Forest
AK,2021-11-09,1837.6414,XGBoost
AK,2021-11-09,6414.157854854086,GBM_default
AK,2021-11-09,3077.2616935454366,GBM_tuned
AK,2021-11-10,1196.306,Random_Forest
AK,2021-11-10,2171.9656,XGBoost
AK,2021-11-10,6036.19338358075,GBM_default
AK,2021-11-10,3077.2616935454366,GBM_tuned
AK,2021-11-11,1147.268,Random_Forest
AK,2021-11-11,2297.026,XGBoost
AK,2021-11-11,3890.93153209528,GBM_default
AK,2021-11-11,3077.2616935454366,GBM_tuned
AK,2021-11-12,1146.145,Random_Forest
AK,2021-11-12,2917.4255,XGBoost
AK,2021-11-12,3923.81395465054,GBM_default
AK,2021-11-12,3077.2616935454366,GBM_tuned
AK,2021-11-13,1148.521,Random_Forest
AK,2021-11-13,3006.921,XGBoost
AK,2021-11-13,3998.853992074906,GBM_default
AK,2021-11-13,3077.2616935454366,GBM_tuned
AK,2021-11-14,1166.906,Random_Forest
AK,2021-11-14,2442.9907,XGBoost
AK,2021-11-14,3872.3951235579457,GBM_default
AK,2021-11-14,3077.2616935454366,GBM_tuned
AK,2021-11-15,1146.834,Random_Forest
AK,2021-11-15,2172.8452,XGBoost
AK,2021-11-15,4017.378782705946,GBM_default
AK,2021-11-15,3077.2616935454366,GBM_tuned
AK,2021-11-16,1169.984,Random_Forest
AK,2021-11-16,1825.264,XGBoost
AK,2021-11-16,6134.246676642404,GBM_default
